NUM_ANOMESDIA,qtde_produtos_distintos
20221201,8798
20221202,8808
20221203,9027
20221204,8753
20221205,8656
20221206,8733
20221207,8689
20221208,8679
20221209,8697
20221210,8948
20221211,8652
20221212,8571
20221213,8599
20221214,8607
20221215,8684
20221216,8746
20221217,8956
20221218,8696
20221219,8707
20221220,8782
20221221,8858
20221222,8913
20221223,8987
20221224,8792
20221225,4376
20221226,8612
20221227,8577
20221228,8696
20221229,8767
20221230,8897
20221231,8641
